Subject,Movement_sequence,Movement_repetition,Movement_orientation,Xsens_recording_name,Xsens_comment,,Heure Xsens,Time diff,Pupil time,Pupil_folder,Pupil_recording_name,labeled,Expertise,Picture_face,Picture_side,max_threshold_acceleration,air_time_threshold,Xsens_jump_idx,Pupil_jump_idx,Pupil_frames_zero,Xsens_frames_zero,Treatment,,State,Twist_side,Notes
GuSe,4-o 831<,0 0,1 1,GuSe_15,GuSe_831_2,Test_17032021-016,14:00:42,0:07:38,14:08:20,2021-08-18_14-08-20-756a1f22,21a4bb0b_0.0-32.981,Mat,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,,,2 3 4 5 6 7 8,0 1 2 3 4 5 6,,310 430,,,OK,D,
GuSe,4-o 831< 4-o 831< 4-o 831<,0 0 1 1 2 2,1 1 1 1 1 1,GuSe_16,GuSe_831_3,Test_17032021-017,14:01:43,0:07:38,14:09:21,2021-08-18_14-09-21-638e6197,07b7371d_0.0-54.708,Mat,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,3.4,,0 1 2 3 4 5 6,0 1 2 3 4 5 6,,150 300,,,OK,D,
GuSe,4-o 8-3< 4-o 8-3< 4-o 8-3< 4-o 8-3< 4-o 8-3<,0 0 1 1 2 2 3 3 4 4,1 1 -1 -1 1 1 -1 -1 1 1,GuSe_17,GuSe_8-3_1,Test_17032021-018,14:03:43,0:07:38,14:11:21,2021-08-18_14-11-21-abe379e3,5bfe7f12_0.0-80.592,,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,2.5,0.5,0 1 2 3 4 5 6,1 2 3 4 5 6 7,,0 200,,,OK,D,
GuSe,4-o 41o 4-o 41/ 4-o 41o 4-o 41o 4-o 41o,0 0 1 0 2 1 3 2 4 3,1 1 -1 -1 1 1 -1 -1 1 1,GuSe_18,GuSe_4-_41_3,Test_17032021-019,14:07:26,0:07:38,14:15:04,2021-08-18_14-15-04-a9fcd6fc,8c0535e4_0.0-69.614,,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,,,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,,0 50,,,OK,D,
SoMe,4-o 43/ 4-o 43/ 4-o 43/ 4-o 43/ 4-o 43/,0 0 1 1 2 2 3 3 4 4,1 1 1 1 1 1 1 1 1 1,SoMe_01,SoMe_3-_43_1,Test_17032021-020,3:00:43,12:08:16,15:08:59,2021-08-18_15-08-59-d8f3dd1f,aba5dcc7_0.0-78.997,Mat,Elite,SoMe_face.jpg,SoMe_cote.jpg,2.5,0.5,0 1 2 3 4,1 2 3 4 5,,540 640,,,OK,G,
SoMe,8-1< 811< 8-1< 811< 8-1< 811< 8-1< 811< 8-1< 811<,0 0 1 1 2 2 3 3 4 4,1 -1 1 -1 1 -1 1 -1 1 -1,SoMe_02,SoMe_8-1_811_1,Test_17032021-021,3:02:57,12:08:17,15:11:14,2021-08-18_15-11-14-07c67341,d72d5fd8_0.0-183.487,,Elite,SoMe_face.jpg,SoMe_cote.jpg,,,2 3 4 5 6 7 8 9 10,0 1 2 3 4 5 6 7 8,,230 320,,,OK,G,
SoMe,4-o 41o 4-o 41o 4-o 41o 4-o 41o 4-o 41o,0 0 1 1 2 2 3 3 4 4,1 1 -1 -1 1 1 -1 -1 1 1,SoMe_03,SoMe_4-_41_1,Test_17032021-022,3:07:17,12:08:18,15:15:35,2021-08-18_15-15-35-2203b556,9ae3261e_0.0-38.738,,Elite,SoMe_face.jpg,SoMe_cote.jpg,,,1 2 3 4 5 6,0 1 2 3 4 5,,50 130,,,OK,G,
SoMe,41/ 42/ 41/ 42/ 41/ 42/ 41/ 42/ 41/ 42/,0 0 1 1 2 2 3 3 4 4 5 5,1 -1 -1 1 1 -1 -1 1 1 -1,SoMe_04,SoMe_41_42_1,Test_17032021-023,3:09:19,12:08:19,15:17:38,2021-08-18_15-17-38-43b8273a,a62d4691_0.0-45.796,Yes,Elite,SoMe_face.jpg,SoMe_cote.jpg,3.5,0.25,0 1 2 3 4 5 6,0 1 2 3 4 5 6,,0 200,,,OK,G,Vision OCP
SoMe,8-1< 8-1< 822/ 8-1< 822/,0 1 0 2 1,1 1 -1 1 -1,SoMe_05,SoMe_822_1,Test_17032021-024,3:11:28,12:08:20,15:19:48,2021-08-18_15-19-48-a76ddeb0,7a58a3cd_0.0-143.266,,Elite,SoMe_face.jpg,SoMe_cote.jpg,,,,,,70 100,,,,G,Probleme Xsens 2 premier saut uniquement
SoMe,8-1< 822/ 8-1< 822/,0 0 1 1,1 -1 1 -1,SoMe_06,SoMe_822_2,Test_17032021-025,3:14:57,12:08:21,15:23:18,2021-08-18_15-23-18-344abba2,f442ba55_0.0-53.344,,Elite,SoMe_face.jpg,SoMe_cote.jpg,,,,,,80 110,,,,G,Probleme Xsens 2 premier saut uniquement
